,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
49,Small-Group Niagara Falls Day Tour from Toronto with Boat and Lunch Options,Bus Tours,6+ hours,$140.89,per adult,Free cancellation,By Zoom Tours Niagara Falls,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d1627398-Reviews-Zoom_Tours_Niagara_Falls-Toronto_Ontario.html
50,Toronto Brunch Cruise,Coffee Cruises,2 hours,$71.04,per adult,Free cancellation,By City Cruises Toronto,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d1744957-Reviews-City_Cruises_Toronto-Toronto_Ontario.html
51,Toronto Great Canadian Food Tour,Walking Tours,2–3 hours,$73.50,per adult,Free cancellation,By Chopsticks+Forks,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d12034909-Reviews-Chopsticks_Forks-Toronto_Ontario.html
52,Small-Group Walking Tour of Toronto's Kensington Market and Chinatown,City Tours,2 hours,$42.67,per adult,Free cancellation,By Intrepid Urban Adventures - Toronto,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d23587913-Reviews-Intrepid_Urban_Adventures_Toronto-Toronto_Ontario.html
53,Private Tour: Niagara Falls from Toronto with Lunch and Boat,Luxury Car Tours,6–8 hours,$362.29,per adult,Free cancellation,By Airlink Niagara Falls Tours,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d1891074-Reviews-Airlink_Niagara_Falls_Tours-Toronto_Ontario.html
54,Luxury Private Tour of Niagara Falls from Toronto,Bus Tours,5–8 hours,$764.84,per group,Free cancellation,By Zoom Tours Niagara Falls,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d1627398-Reviews-Zoom_Tours_Niagara_Falls-Toronto_Ontario.html
55,Niagara Falls Day Tour With Lights and Fireworks over the Falls,Full-day Tours,6+ hours,$160.21,per adult,Free cancellation,By Airlink Niagara Falls Tours,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d1891074-Reviews-Airlink_Niagara_Falls_Tours-Toronto_Ontario.html
56,Algonquin Group Camping Adventure (2 Day),Adventure Tours,2 days,$261.66,per adult,Free cancellation,By Lake Fever Wilderness Co.,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d17591963-Reviews-Lake_Fever_Wilderness_Co-Toronto_Ontario.html
57,Spirits of the Distillery District Ghost Tour,Night Tours,1–2 hours,$22.74,per adult,Free cancellation,By Haunted Walk of Toronto,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d3203639-Reviews-Haunted_Walk_of_Toronto-Toronto_Ontario.html
58,Bruce Peninsula Day Trip from Toronto,Adventure Tours,6+ hours,$173.10,per adult,Free cancellation,By Travelling Chicken,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d11918297-Reviews-Travelling_Chicken-Toronto_Ontario.html
