,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
233,Private Cycling Tour of Constantia Winelands,Adventure Tours,4 hours,$126.50,per adult,Free cancellation,By AWOL Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d481272-Reviews-AWOL_Tours-Cape_Town_Central_Western_Cape.html
234,Full day Combo Tour (AM Cape Point and PM Winelands Tour),Full-day Tours,6+ hours,$109.41,per adult,Free cancellation,By Hylton Ross Exclusive Touring,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d3792341-Reviews-Hylton_Ross_Exclusive_Touring-Cape_Town_Central_Western_Cape.html
235,Scenic Cape Point Helicopter Tour from Cape Town,Helicopter Tours,50–60 minutes,$950.48,per adult,Free cancellation,By Sport Helicopters,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d8617311-Reviews-Sport_Helicopters-Cape_Town_Central_Western_Cape.html
236,Adventurous Table Mountain Hike: Group or Private,,3 hours,$73.64,per adult,,By Hike Addicts,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d12050308-Reviews-Hike_Addicts-Cape_Town_Central_Western_Cape.html
237,Lion's Head hike for Sunset,,3 hours,$100.82,per adult,Free cancellation,By Hike Lion's Head (Cape Town),Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d11946568-Reviews-Hike_Lion_s_Head_Cape_Town-Cape_Town_Central_Western_Cape.html
238,India Venster Route: Hiking in Table Mountain from Cape Town,,4 hours,$99.19,per adult,Free cancellation,By Mother City Hikers,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d2615119-Reviews-Mother_City_Hikers-Cape_Town_Central_Western_Cape.html
239,Full-Day Hermanus Whale Route Tour from Cape Town (Optional Whale Watching Boat),Bus Tours,9–11 hours,$78.64,per adult,Free cancellation,By Shark & Safari Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d2021586-Reviews-Shark_Safari_Tours-Cape_Town_Central_Western_Cape.html
240,Exclusive Franschhoek and Paarl Wine Tour,Bus Tours,6+ hours,$143.60,per adult,Free cancellation,By Wine Escapes,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g469396-d2700995-Reviews-Wine_Escapes-Somerset_West_Western_Cape.html
241,Full day Winelands Tour,Full-day Tours,6+ hours,$82.74,per adult,Free cancellation,By Hylton Ross Exclusive Touring,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d3792341-Reviews-Hylton_Ross_Exclusive_Touring-Cape_Town_Central_Western_Cape.html
242,Tandem Paragliding Cape Town,,10 minutes,$91.17,per adult,Free cancellation,By Table Mountain PARAGLIDING,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d18187005-Reviews-Table_Mountain_PARAGLIDING-Cape_Town_Central_Western_Cape.html
