,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
86,Wild West Sunset Horseback Ride with Dinner from Las Vegas,,5 hours,$159.99,per adult,Free cancellation,By Wild West Horseback Adventures,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d2044045-Reviews-Wild_West_Horseback_Adventures-Las_Vegas_Nevada.html
87,Small-Group Hollywood and Los Angeles Day Tour from Las Vegas,Bus Tours,6+ hours,$246.17,per adult,Free cancellation,By Adventure Photo Tours,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d552952-Reviews-Adventure_Photo_Tours-Las_Vegas_Nevada.html
88,Grand Circle 3-Day tour from Las Vegas,Bus Tours,3 days,$967.00,per adult,Free cancellation,By Fun Group Las Vegas,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d19886796-Reviews-Fun_Group_Las_Vegas-Las_Vegas_Nevada.html
89,Red Rock Canyon Hiking Tour,,4 hours,$129.99,per adult,Free cancellation,By Escape Adventures,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d4324387-Reviews-Escape_Adventures-Las_Vegas_Nevada.html
90,ULTIMATE Small Group Skywalk & Hoover Dam Tour,Full-day Tours,6+ hours,$210.00,per adult,Free cancellation,By Grand Adventures Tours,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d663940-Reviews-Grand_Adventures_Tours-Las_Vegas_Nevada.html
91,Death Valley Day Trip from Las Vegas,Bus Tours,6+ hours,$256.47,per adult,Free cancellation,By Adventure Photo Tours,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d552952-Reviews-Adventure_Photo_Tours-Las_Vegas_Nevada.html
92,Grand Canyon South Rim From Las Vegas,Full-day Tours,6+ hours,$95.00,per adult,Free cancellation,"By SWEETours, Inc.",Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d1102793-Reviews-SWEETours_Inc-Las_Vegas_Nevada.html
93,Madame Tussauds Las Vegas Admission Ticket,Attractions & Museums,1 hour,$37.94,per adult,,By Madame Tussauds -  Las Vegas,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d106578-Reviews-Madame_Tussauds_Las_Vegas-Las_Vegas_Nevada.html
94,Grand Canyon and Antelope Canyon Small Group Overnight Tour,Bus Tours,2 days,$349.00,per adult,Free cancellation,By MaxTour,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d12334620-Reviews-MaxTour-Las_Vegas_Nevada.html
95,,4,3,,,5,,Las Vegas,USA,
96,,,,,,,Clear all filters,Las Vegas,USA,
97,Piff the Magic Dragon at the Flamingo Las Vegas,Shows,1–2 hours,$77.99,per adult,,By Piff the Magic Dragon,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d10209310-Reviews-Piff_the_Magic_Dragon-Las_Vegas_Nevada.html
98,Exotic Supercar Driving Experiences On A Real Racetrack in Las Vegas,,2 hours,$199.00,per adult,Free cancellation,By Speedvegas,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d10187865-Reviews-Speedvegas-Las_Vegas_Nevada.html
99,"Purple Reign, The Prince Tribute Show at the Tropicana Hotel Las Vegas",Theaters,1–2 hours,$55.29,per adult,Free cancellation,"By Purple Reign, THE Prince Tribute Show!",Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d2322672-Reviews-Purple_Reign_THE_Prince_Tribute_Show-Las_Vegas_Nevada.html
100,"Grand Canyon, Hoover Dam and Route 66 Tour From Las Vegas",Full-day Tours,6+ hours,$195.00,per adult,Free cancellation,By Top Canyon Tours,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d18952580-Reviews-Top_Canyon_Tours-Las_Vegas_Nevada.html
