,Attraction Name,Attraction Type,City,Country
204,Historia Alisveris Merkezi,Shopping Malls,Istanbul,Turkey
205,Starcity Outlet,Shopping Malls,Istanbul,Turkey
206,Neve Shalom Synagogue,Historic Sites • Religious Sites,Istanbul,Turkey
207,ViaSea,Amusement & Theme Parks,Istanbul,Turkey
208,Arap Camii,Religious Sites,Istanbul,Turkey
209,The Ayın Biri Church,Churches & Cathedrals,Istanbul,Turkey
210,Saklıgöl Tesisleri,Points of Interest & Landmarks,Istanbul,Turkey
211,Tuzla Belediyesi Selale Egitim Parki,Parks,Istanbul,Turkey
212,Fountain of Ahmet III,Historic Sites,Istanbul,Turkey
213,St. Esprit Cathedral,Historic Sites,Istanbul,Turkey
214,Laleli Tashan,Points of Interest & Landmarks,Istanbul,Turkey
215,Uskudar Harem Sahil Yolu,Scenic Drives • Scenic Walking Areas,Istanbul,Turkey
216,Walls of Theodosius,Historic Sites • Ancient Ruins,Istanbul,Turkey
217,Kadikoy Iskelesi,Piers & Boardwalks,Istanbul,Turkey
218,,1,Istanbul,Turkey
219,Aqua Club Dolphin,Water Parks,Istanbul,Turkey
220,Florya Beach,Beaches,Istanbul,Turkey
221,Atakoy Plus Alisveris Merkezi,Shopping Malls,Istanbul,Turkey
222,Airport Outlet Center,Shopping Malls,Istanbul,Turkey
223,Dolmabahce Sanat Galerisi,Art Galleries,Istanbul,Turkey
224,Sadberk Hanim Museum,Art Museums,Istanbul,Turkey
225,Rumeli Feneri,Lighthouses,Istanbul,Turkey
226,Sariyer Sahil Yolu,Scenic Walking Areas,Istanbul,Turkey
227,Tekfur Sarayi,Architectural Buildings,Istanbul,Turkey
228,Hurrem Sultan Fountain,Fountains,Istanbul,Turkey
229,Tuyap Fuar ve Kongre Merkezi,Convention Centers,Istanbul,Turkey
230,Buyaka Shopping Center,Shopping Malls,Istanbul,Turkey
231,Second Floor,Theaters,Istanbul,Turkey
232,Dialogue in the Dark Istanbul Sergisi,Points of Interest & Landmarks,Istanbul,Turkey
233,Mihrabat Tabiat Parki,National Parks • Nature & Wildlife Areas,Istanbul,Turkey
234,Axis AVM,Shopping Malls,Istanbul,Turkey
235,Bogazici University,Educational sites,Istanbul,Turkey
236,Meryem Ana Rum Ortodoks Kilisesi,Churches & Cathedrals,Istanbul,Turkey
237,Air Force Museum,Military Museums,Istanbul,Turkey
238,Maltepe Park Shopping Center,Shopping Malls,Istanbul,Turkey
239,Arter,Art Galleries,Istanbul,Turkey
240,Milli Saraylar Resim Muzesi,Speciality Museums,Istanbul,Turkey
