,Attraction Name,Attraction Type,City,Country
154,Palacio de Mineria,Architectural Buildings,Mexico City,Mexico
155,,1,Mexico City,Mexico
156,Ex Convento Desierto de los Leones,Points of Interest & Landmarks • Churches & Cathedrals,Mexico City,Mexico
157,Jardín Centenario,Architectural Buildings • Parks,Mexico City,Mexico
158,Casa Museo Guillermo Tovar de Teresa,Speciality Museums,Mexico City,Mexico
159,Iglesia Nuestra Señora del Pilar “La Enseñanza”,Churches & Cathedrals,Mexico City,Mexico
160,Francisco I. Madero Avenue,Points of Interest & Landmarks • Historic Walking Areas,Mexico City,Mexico
161,Metro Bus,Public Transportation Systems,Mexico City,Mexico
162,Iglesia de San Hipólito,Religious Sites,Mexico City,Mexico
163,Parque España,Parks • Gardens,Mexico City,Mexico
164,La Cuspide Sky Mall,Shopping Malls,Mexico City,Mexico
165,Cumbres Del Ajusco National Park,National Parks,Mexico City,Mexico
166,Banos Medicinales del Penon,Historic Sites,Mexico City,Mexico
167,Zoologico Los Coyotes,Nature & Wildlife Areas,Mexico City,Mexico
168,Casa Gilardi,Architectural Buildings,Mexico City,Mexico
169,Museo Nacional de la Revolución,Speciality Museums,Mexico City,Mexico
170,Museo del Caracol,Speciality Museums,Mexico City,Mexico
171,Parque Via Vallejo,Shopping Malls,Mexico City,Mexico
172,Campo Marte,Points of Interest & Landmarks,Mexico City,Mexico
173,Catedral Metropolitana de la Ciudad de México,Churches & Cathedrals,Mexico City,Mexico
174,Garden of Art (Jardin del Arte),Gardens,Mexico City,Mexico
175,The Shops at Downtown,Shopping Malls,Mexico City,Mexico
176,Parque Masayoshi Ohira,Parks • Gardens,Mexico City,Mexico
177,Museo Biblioteca Palacio Postal,Speciality Museums,Mexico City,Mexico
178,Plaza Universidad,Shopping Malls,Mexico City,Mexico
179,Kataplum,Amusement & Theme Parks,Mexico City,Mexico
180,Museo Nacional de las Culturas Populares,Speciality Museums,Mexico City,Mexico
181,Kiosco Morisco,Points of Interest & Landmarks,Mexico City,Mexico
182,Sinagoga Historica Justo Sierrra,Speciality Museums • Religious Sites,Mexico City,Mexico
183,Parque Delta,Shopping Malls,Mexico City,Mexico
184,Cerro de la Estrella,Historic Sites,Mexico City,Mexico
185,Fuente de Cibeles,Fountains,Mexico City,Mexico
186,,1,Mexico City,Mexico
187,Estadio Alfredo Harp Helu,Arenas & Stadiums,Mexico City,Mexico
188,Planetario,Points of Interest & Landmarks,Mexico City,Mexico
189,Jose Clemente Orozco's Mural Series in the Escuela Nacional Preparatoria,Speciality Museums,Mexico City,Mexico
190,La Casa de las Sirenas,Points of Interest & Landmarks,Mexico City,Mexico
191,Capilla Del Pocito,Points of Interest & Landmarks,Mexico City,Mexico
192,Iglesia de Santo Domingo,Churches & Cathedrals,Mexico City,Mexico
193,Arena Mexico,Arenas & Stadiums,Mexico City,Mexico
194,Museo de Arte Carrillo Gil,Art Museums,Mexico City,Mexico
195,Estadio Azul,Arenas & Stadiums,Mexico City,Mexico
196,Parque Ecologico Xochimilco,Parks,Mexico City,Mexico
197,Centro Comercial Paseo Acoxpa,Shopping Malls,Mexico City,Mexico
198,Cathedral of the Assumption,Churches & Cathedrals,Mexico City,Mexico
199,Jardin Del Tepeyac,Gardens,Mexico City,Mexico
200,Teatro Hidalgo,Theaters,Mexico City,Mexico
201,Tepito,Neighborhoods,Mexico City,Mexico
202,Pinacoteca de la Profesa,Art Galleries • Religious Sites,Mexico City,Mexico
203,Supreme Court of Justice,Government Buildings,Mexico City,Mexico
204,Capilla Del Cerrito,Points of Interest & Landmarks,Mexico City,Mexico
205,Ex-Convento del Carmen,Architectural Buildings,Mexico City,Mexico
206,Iglesia de San Felipe de Jesus,Historic Sites • Architectural Buildings,Mexico City,Mexico
207,Fuente de la Diana Cazadora (Diana the Huntress Fountain(,Fountains,Mexico City,Mexico
208,Espacio escultórico de la UNAM,Points of Interest & Landmarks • Monuments & Statues,Mexico City,Mexico
209,Museo Universitario del Chopo,Speciality Museums,Mexico City,Mexico
210,Arto Otra,Art Galleries,Mexico City,Mexico
211,"Tutankamón - la Tumba, el Oro y la Maldición",Speciality Museums,Mexico City,Mexico
212,Centro Cultural España en México,Points of Interest & Landmarks,Mexico City,Mexico
213,El Caballito,Points of Interest & Landmarks,Mexico City,Mexico
214,Manolo Fabregas Theater Center,Theaters,Mexico City,Mexico
215,Abelardo L. Rodriguez Murals,Flea & Street Markets,Mexico City,Mexico
216,Parroquia de San Agustín,Architectural Buildings • Churches & Cathedrals,Mexico City,Mexico
217,,1,Mexico City,Mexico
218,Museo de Sitio del Claustro de Sor Juana,Speciality Museums,Mexico City,Mexico
219,Mexico Park,Parks,Mexico City,Mexico
220,Francisco Sosa Avenue,Points of Interest & Landmarks,Mexico City,Mexico
221,Zoologico Zacango,Zoos,Mexico City,Mexico
222,Museo de La Luz.,Speciality Museums,Mexico City,Mexico
223,Museo Casa de Carranza,Speciality Museums,Mexico City,Mexico
224,Mercado de las Flores de Nativitas,Parks,Mexico City,Mexico
225,Parque de los Venados,Parks,Mexico City,Mexico
226,Iglesia de San Juan de Dios,Churches & Cathedrals,Mexico City,Mexico
227,Palacio De La Medicina,Speciality Museums • Science Museums,Mexico City,Mexico
228,Hospital de Jesús Nazareno,Historic Sites,Mexico City,Mexico
229,Pista de Hielo Santa Fe,Playgrounds,Mexico City,Mexico
230,Iglesia de Nuestra Senora de Guadalupe,Churches & Cathedrals,Mexico City,Mexico
231,Museo del Automovil,Speciality Museums,Mexico City,Mexico
232,Angel De La Independencia,Monuments & Statues,Mexico City,Mexico
233,Trail of Light,Monuments & Statues,Mexico City,Mexico
234,Centro de Convivencia en Mundo E,Zoos,Mexico City,Mexico
235,Plaza Tolsá,Historic Walking Areas,Mexico City,Mexico
