WlYyy,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3
950,https://www.tripadvisor.com/Attraction_Review-g150800-d152540-Reviews-Mercado_De_Artesanias_La_Ciudadela-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/b8/8f/ae/skeleton-heads-of-clay.jpg?w=500&h=-1&s=1,Mercado De Artesanias La Ciudadela,22.,https://www.tripadvisor.com/Attraction_Review-g150800-d152540-Reviews-Mercado_De_Artesanias_La_Ciudadela-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Flea & Street Markets,Cuauhtémoc District
858,https://www.tripadvisor.com/Attraction_Review-g150800-d153780-Reviews-La_Condesa-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/d9/f2/20161214-134343-largejpg.jpg?w=500&h=400&s=1,La Condesa,23.,https://www.tripadvisor.com/Attraction_Review-g150800-d153780-Reviews-La_Condesa-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Neighborhoods,Cuauhtémoc District
788,https://www.tripadvisor.com/Attraction_Review-g150800-d153712-Reviews-Museo_de_Cera_de_la_Ciudad_de_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/b3/ea/5b/entrada.jpg?w=500&h=-1&s=1,Museo de Cera de la Ciudad de Mexico,24.,https://www.tripadvisor.com/Attraction_Review-g150800-d153712-Reviews-Museo_de_Cera_de_la_Ciudad_de_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Speciality Museums,Cuauhtémoc District
721,https://www.tripadvisor.com/Attraction_Review-g150800-d531643-Reviews-Museo_Mural_Diego_Rivera-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/31/5e/85/museo-mural-diego-rivera.jpg?w=500&h=-1&s=1,Museo Mural Diego Rivera,25.,https://www.tripadvisor.com/Attraction_Review-g150800-d531643-Reviews-Museo_Mural_Diego_Rivera-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Art Museums,Cuauhtémoc District
"1,159",https://www.tripadvisor.com/Attraction_Review-g150800-d153934-Reviews-Museo_Dolores_Olmedo_Patino-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/eb/74/e9/ofrenda-a-diego-y-frida.jpg?w=500&h=-1&s=1,Museo Dolores Olmedo Patino,26.,https://www.tripadvisor.com/Attraction_Review-g150800-d153934-Reviews-Museo_Dolores_Olmedo_Patino-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Speciality Museums,Xochimilco
"1,192",https://www.tripadvisor.com/Attraction_Review-g150800-d155971-Reviews-Floating_Gardens_of_Xochimilco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/cc/cd/89/photo1jpg.jpg?w=500&h=400&s=1,Floating Gardens of Xochimilco,27.,https://www.tripadvisor.com/Attraction_Review-g150800-d155971-Reviews-Floating_Gardens_of_Xochimilco-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Points of Interest & Landmarks • Gardens,Tláhuac
333,https://www.tripadvisor.com/Attraction_Review-g150800-d2292645-Reviews-Mercado_de_San_Juan-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/ce/48/3b/mercado-de-san-juan.jpg?w=500&h=-1&s=1,Mercado de San Juan,28.,https://www.tripadvisor.com/Attraction_Review-g150800-d2292645-Reviews-Mercado_de_San_Juan-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Flea & Street Markets,Cuauhtémoc District
829,https://www.tripadvisor.com/Attraction_Review-g150800-d6781798-Reviews-Acuario_Inbursa-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/dc/b9/96/iconoce-a-mas-de-14-000.jpg?w=500&h=400&s=1,Acuario Inbursa,29.,https://www.tripadvisor.com/Attraction_Review-g150800-d6781798-Reviews-Acuario_Inbursa-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Aquariums,Granada
"2,186",https://www.tripadvisor.com/Attraction_Review-g150800-d558902-Reviews-Palacio_Postal-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/28/3a/aa/caption.jpg?w=500&h=400&s=1,Palacio Postal,30.,https://www.tripadvisor.com/Attraction_Review-g150800-d558902-Reviews-Palacio_Postal-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Architectural Buildings,Cuauhtémoc District
1,,,,,,2,
885,https://www.tripadvisor.com/Attraction_Review-g150800-d152796-Reviews-San_Angel-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/c2/74/06/img-20181217-145243-507.jpg?w=500&h=400&s=1,San Angel,31.,https://www.tripadvisor.com/Attraction_Review-g150800-d152796-Reviews-San_Angel-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Neighborhoods,Álvaro Obregón District
390,https://www.tripadvisor.com/Attraction_Review-g150800-d3499235-Reviews-Mercado_de_Coyoacan-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/32/6c/3d/mercado-de-coyoacan.jpg?w=500&h=400&s=1,Mercado de Coyoacan,32.,https://www.tripadvisor.com/Attraction_Review-g150800-d3499235-Reviews-Mercado_de_Coyoacan-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Flea & Street Markets,Coyoacán
258,https://www.tripadvisor.com/Attraction_Review-g150800-d2040195-Reviews-Biblioteca_Vasconcelos-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/44/b0/a7/photo5jpg.jpg?w=500&h=-1&s=1,Biblioteca Vasconcelos,33.,https://www.tripadvisor.com/Attraction_Review-g150800-d2040195-Reviews-Biblioteca_Vasconcelos-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Libraries,Cuauhtémoc District
704,https://www.tripadvisor.com/Attraction_Review-g150800-d3506520-Reviews-Estadio_Azteca-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/f6/8d/81/estadio-azteca.jpg?w=500&h=-1&s=1,Estadio Azteca,34.,https://www.tripadvisor.com/Attraction_Review-g150800-d3506520-Reviews-Estadio_Azteca-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Arenas & Stadiums,Coyoacán
"1,054",https://www.tripadvisor.com/Attraction_Review-g150800-d1383009-Reviews-Ciudad_Universitaria-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/6f/64/5d/with-us-you-ll-visit.jpg?w=500&h=-1&s=1,Ciudad Universitaria,35.,https://www.tripadvisor.com/Attraction_Review-g150800-d1383009-Reviews-Ciudad_Universitaria-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Neighborhoods • Architectural Buildings,University City
850,https://www.tripadvisor.com/Attraction_Review-g150800-d152631-Reviews-Museo_Nacional_de_Artes-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/e7/c4/60/palace-of-communications.jpg?w=500&h=-1&s=1,Museo Nacional de Artes,36.,https://www.tripadvisor.com/Attraction_Review-g150800-d152631-Reviews-Museo_Nacional_de_Artes-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Speciality Museums,Centro Histórico
288,https://www.tripadvisor.com/Attraction_Review-g150800-d184138-Reviews-Parque_Nacional_Desierto_de_los_Leones-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/0d/6e/56/parque-nacional-desierto.jpg?w=500&h=400&s=1,Parque Nacional Desierto de los Leones,37.,https://www.tripadvisor.com/Attraction_Review-g150800-d184138-Reviews-Parque_Nacional_Desierto_de_los_Leones-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Parks,Cuajimalpa de Morelos
212,https://www.tripadvisor.com/Attraction_Review-g150800-d1841370-Reviews-El_Bazar_Sabado-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/98/0a/37/around-the-plaza.jpg?w=500&h=-1&s=1,El Bazar Sabado,38.,https://www.tripadvisor.com/Attraction_Review-g150800-d1841370-Reviews-El_Bazar_Sabado-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Flea & Street Markets,Álvaro Obregón District
"1,330",https://www.tripadvisor.com/Attraction_Review-g150800-d558912-Reviews-Monumento_y_Museo_de_la_Revolucion-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/dd/62/fa/photo0jpg.jpg?w=500&h=400&s=1,Monumento y Museo de la Revolucion,39.,https://www.tripadvisor.com/Attraction_Review-g150800-d558912-Reviews-Monumento_y_Museo_de_la_Revolucion-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Speciality Museums • Monuments & Statues,Cuauhtémoc District
606,https://www.tripadvisor.com/Attraction_Review-g150800-d152901-Reviews-Museo_Casa_De_Leon_Trotsky-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/7f/6a/9a/museo-casa-de-leon-trotsky.jpg?w=500&h=400&s=1,Museo Casa De Leon Trotsky,40.,https://www.tripadvisor.com/Attraction_Review-g150800-d152901-Reviews-Museo_Casa_De_Leon_Trotsky-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Speciality Museums,Coyoacán
557,https://www.tripadvisor.com/Attraction_Review-g150800-d156048-Reviews-Museo_Diego_Rivera_Anahuacalli-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/6a/bb/e2/photo3jpg.jpg?w=500&h=-1&s=1,Museo Diego Rivera Anahuacalli,41.,https://www.tripadvisor.com/Attraction_Review-g150800-d156048-Reviews-Museo_Diego_Rivera_Anahuacalli-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Speciality Museums,Coyoacán
