,Attraction Name,Attraction Type,City,Country
142,St Joseph's Chapel Catholic Memorial at Ground Zero,Religious Sites,NewYork,USA
143,Museum of Sex,Speciality Museums • Art Museums,NewYork,USA
144,The Met Breuer,Art Museums,NewYork,USA
145,Lunt-Fontanne Theatre,Theaters,NewYork,USA
146,The Shops at Columbus Circle,Shopping Malls,NewYork,USA
147,Trump Tower,Points of Interest & Landmarks • Observation Decks & Towers,NewYork,USA
148,Hudson Theatre,Theaters,NewYork,USA
149,Park Avenue,Neighborhoods • Historic Walking Areas,NewYork,USA
150,Ripley's Believe It or Not! Times Square,Speciality Museums,NewYork,USA
151,Herald Square,Points of Interest & Landmarks,NewYork,USA
152,Alice in Wonderland Statue,Monuments & Statues,NewYork,USA
153,Penn Station,Points of Interest & Landmarks,NewYork,USA
154,,1,NewYork,USA
155,Pier 17,Piers & Boardwalks,NewYork,USA
156,New York Harbor,Bodies of Water,NewYork,USA
157,Columbus Circle,Neighborhoods • Points of Interest & Landmarks,NewYork,USA
158,Penn Station,Points of Interest & Landmarks,NewYork,USA
159,Gerald Schoenfeld Theatre,Theaters,NewYork,USA
160,The Shops & Restaurants at Hudson Yards,Shopping Malls,NewYork,USA
161,Fraunces Tavern Museum,Historic Sites • Architectural Buildings,NewYork,USA
162,Federal Hall,Historic Sites • Architectural Buildings,NewYork,USA
163,Balto Statue,Monuments & Statues,NewYork,USA
164,Unisphere,Points of Interest & Landmarks,NewYork,USA
165,Imperial Theatre,Theaters,NewYork,USA
166,Studio 54,Theaters,NewYork,USA
167,,1,NewYork,USA
168,St. Bartholomew's Church,Religious Sites,NewYork,USA
169,General Electric Building,Architectural Buildings,NewYork,USA
170,Joyce Theater,Theaters,NewYork,USA
171,Fulton Center,Points of Interest & Landmarks • Architectural Buildings,NewYork,USA
172,Sixth Avenue (Avenue of the Americas),Points of Interest & Landmarks • Scenic Walking Areas,NewYork,USA
173,Greenacre Pocket Park,Parks,NewYork,USA
174,Trump Rink in Central Park,Sports Complexes,NewYork,USA
175,Red Cube,Points of Interest & Landmarks,NewYork,USA
176,The Art of the Brick by Nathan Sawaya,Points of Interest & Landmarks,NewYork,USA
177,New York International Auto Show,Exhibitions,NewYork,USA
178,St. Patrick’s Day Parade New York City,Cultural Events,NewYork,USA
179,Arthur Ashe Stadium,Arenas & Stadiums,NewYork,USA
180,Mount Vernon Hotel Museum & Garden,Historic Sites • History Museums,NewYork,USA
181,Holographic Studios,Points of Interest & Landmarks,NewYork,USA
182,ABC Carpet & Home,Department Stores,NewYork,USA
183,Hearst Tower,Points of Interest & Landmarks • Observation Decks & Towers,NewYork,USA
184,Longacre Theatre,Theaters,NewYork,USA
185,H&M,Department Stores,NewYork,USA
186,Chelsea Flea Market,Flea & Street Markets,NewYork,USA
187,Grand Masonic Lodge of New York,Historic Sites • Architectural Buildings,NewYork,USA
188,New York University,Educational sites,NewYork,USA
189,Artists & Fleas at Chelsea Market,Flea & Street Markets,NewYork,USA
190,New York City Supreme Court,Points of Interest & Landmarks,NewYork,USA
191,Gracie Mansion,Historic Sites,NewYork,USA
192,Morris-Jumel Mansion,Speciality Museums,NewYork,USA
193,Central Synagogue,Religious Sites,NewYork,USA
194,Holcombe Rucker Park,Parks,NewYork,USA
195,Rockefeller Park,Parks,NewYork,USA
196,34th Street,Neighborhoods,NewYork,USA
197,Sotheby's,Art Galleries,NewYork,USA
198,,1,NewYork,USA
199,Trinity Church Cemetery & Mausoleum,Cemeteries,NewYork,USA
200,MetLife Building,Architectural Buildings,NewYork,USA
201,Park Avenue Armory,Convention Centers,NewYork,USA
202,Astor Place Theatre,Theaters,NewYork,USA
203,American Airlines Theater,Theaters,NewYork,USA
204,Canaan Baptist Church of Christ,Churches & Cathedrals,NewYork,USA
205,Alleva Dairy,Points of Interest & Landmarks,NewYork,USA
206,Grace Church,Architectural Buildings • Religious Sites,NewYork,USA
207,Paley Park,Parks,NewYork,USA
208,Shakespeare Garden,Gardens,NewYork,USA
