,Attraction Name,Attraction Type,City,Country
193,Copernicus Center,Theaters,Chicago,USA
194,Half Acre Beer Company,Breweries,Chicago,USA
195,Sullivan Center,Architectural Buildings • Department Stores,Chicago,USA
196,Ukrainian National Museum,Art Museums • History Museums,Chicago,USA
197,Windy City Playhouse,Theaters,Chicago,USA
198,Financial District,Neighborhoods,Chicago,USA
199,Chicago Distilling Company,Distilleries,Chicago,USA
200,Maxwell Street Market,Flea & Street Markets,Chicago,USA
201,Block 37,Shopping Malls,Chicago,USA
202,The Den Theatre,Theaters,Chicago,USA
203,Jackson Park,Parks,Chicago,USA
204,Lincoln Monument,Monuments & Statues,Chicago,USA
205,Greenhouse Theater Center,Theaters,Chicago,USA
206,The East Bank Club,Sports Complexes,Chicago,USA
207,Vietnam Veterans Fountain,Monuments & Statues • Fountains,Chicago,USA
208,Lake Shore Place,Architectural Buildings,Chicago,USA
209,31st Street Harbor,Marinas,Chicago,USA
210,Chicago Auto Show,Exhibitions,Chicago,USA
211,Briar Street Theatre,Theaters,Chicago,USA
212,Thorne Miniature Rooms,Art Galleries • Speciality Museums,Chicago,USA
213,Ping Tom Memorial Park,Parks,Chicago,USA
214,London Guarantee Building,Architectural Buildings,Chicago,USA
215,Polish Museum of America,Speciality Museums,Chicago,USA
216,Intuit: The Center for Intuitive and Outsider Art,Art Galleries,Chicago,USA
217,Porchlight Music Theatre,Theaters,Chicago,USA
218,,1,Chicago,USA
219,National Hellenic Museum,Speciality Museums,Chicago,USA
220,Elks National Memorial,Monuments & Statues,Chicago,USA
221,Logan Square Farmers Market,Farmers Markets,Chicago,USA
222,Wild Blossom Meadery,Wineries & Vineyards,Chicago,USA
223,Chicago Loop Synagogue,Religious Sites,Chicago,USA
224,United Club,Airport Lounges,Chicago,USA
225,Chicago Maritime Museum,History Museums,Chicago,USA
226,Smart Museum of Art,Art Museums,Chicago,USA
227,On Tour Brewing Company,Breweries,Chicago,USA
228,North Park Village Nature Center,Nature & Wildlife Areas,Chicago,USA
229,Bohemian National Cemetery,Historic Sites • Cemeteries,Chicago,USA
230,Chicago Lakefront,Piers & Boardwalks • Biking Trails,Chicago,USA
231,Lake Shore Park,Parks,Chicago,USA
232,S.R. Crown Hall,Points of Interest & Landmarks,Chicago,USA
233,Muddy Waters Mural,Points of Interest & Landmarks,Chicago,USA
234,Dearborn Street Bridge,Bridges,Chicago,USA
235,Apollo Theater Chicago,Theaters,Chicago,USA
236,Rocky Mountain Chocolate Factory,Airport Shops,Chicago,USA
237,Davis Theater,Theaters,Chicago,USA
238,Palmisano Park,Parks,Chicago,USA
239,National Shrine of St Jude,Points of Interest & Landmarks,Chicago,USA
240,Monument with Standing Beast,Monuments & Statues,Chicago,USA
241,Heald Square Monument,Points of Interest & Landmarks • Monuments & Statues,Chicago,USA
