,Attraction Name,Attraction Type,City,Country
176,Gasometer Schöneberg,Points of Interest & Landmarks,Berlin,Germany
177,Museum der Dinge (Museum of Things),Speciality Museums • Art Museums,Berlin,Germany
178,James Simon Park,Parks • Gardens,Berlin,Germany
179,Primark,Shopping Malls,Berlin,Germany
180,Kindermuseum MACHmit!,Children's Museums,Berlin,Germany
181,Neue Nationalgalerie,Art Museums,Berlin,Germany
182,Futurium,Speciality Museums • Science Museums,Berlin,Germany
183,Dorotheenstadt Cemetery,Cemeteries,Berlin,Germany
184,Arminiusmarkthalle,Farmers Markets,Berlin,Germany
185,,1,Berlin,Germany
186,Magicum Berlin Magic Museum,Speciality Museums,Berlin,Germany
187,Deutsche Bahn,Public Transportation Systems,Berlin,Germany
188,Molecule Men Sculpture,Points of Interest & Landmarks,Berlin,Germany
189,St. Mary's Church,Churches & Cathedrals,Berlin,Germany
190,Schlossbrücke,Bridges,Berlin,Germany
191,Kabarett Theater DISTEL,Theaters,Berlin,Germany
192,Zeiss Grossplanetarium,Speciality Museums,Berlin,Germany
193,Weltzeituhr,Points of Interest & Landmarks,Berlin,Germany
194,Monbijou Park,Parks,Berlin,Germany
195,Natur-Park Schöeneberger Süedgeläende,Parks,Berlin,Germany
196,Berliner-Kindl-Schultheiss-Brauerei,Breweries,Berlin,Germany
197,Trabi Museum,Speciality Museums,Berlin,Germany
198,Warschauer Strasse,Points of Interest & Landmarks,Berlin,Germany
199,Plötzensee Memorial Center,Historic Sites • Breweries,Berlin,Germany
200,Breitscheidplatz,Points of Interest & Landmarks,Berlin,Germany
201,Museum of Musical Instruments (Musikinstrumenten Museum),Speciality Museums,Berlin,Germany
202,Berlin Friedrichstraße Station,Architectural Buildings,Berlin,Germany
203,Museum Ephraim-Palais,Speciality Museums,Berlin,Germany
204,Collection Scharf-Gerstenberg,Art Museums,Berlin,Germany
205,Potsdamer Platz Arkaden,Shopping Malls,Berlin,Germany
206,Alte Münze,Civic Centres,Berlin,Germany
207,Komische Oper,Theaters,Berlin,Germany
208,Grosse Orangerie Schloss Charlottenburg,Historic Sites,Berlin,Germany
209,"Unité d'habitation, Le Corbusier",Points of Interest & Landmarks,Berlin,Germany
210,Kulturforum,Speciality Museums,Berlin,Germany
211,Cathedral of St. Hedwig - Domgemeinde St. Hedwig,Churches & Cathedrals,Berlin,Germany
212,Tempodrom,Arenas & Stadiums,Berlin,Germany
213,Anhalter Bahnhof,Historic Sites,Berlin,Germany
214,Berlin Sculpture (Broken Chain),Points of Interest & Landmarks,Berlin,Germany
215,Berliner Verkehrsbetriebe BVG,Public Transportation Systems,Berlin,Germany
216,,1,Berlin,Germany
217,Märchenhütte,Theaters,Berlin,Germany
218,Haus der Kulturen der Welt,Speciality Museums,Berlin,Germany
219,Uhr der fliessenden Zeit (Clock Of Flowing Time),Points of Interest & Landmarks,Berlin,Germany
220,Spree,Bodies of Water,Berlin,Germany
221,Gallery of Steel Figures,Speciality Museums,Berlin,Germany
222,Museum Knoblauchhaus,Speciality Museums,Berlin,Germany
223,BlackBox Cold War Museum,History Museums,Berlin,Germany
224,Quatsch Comedy Club,Theaters,Berlin,Germany
225,Park am Gleisdreieck,Parks,Berlin,Germany
226,Museum fur Fotografie,Speciality Museums,Berlin,Germany
227,Café am Neuen See,Gardens,Berlin,Germany
228,Heckmann Hoefe,Points of Interest & Landmarks,Berlin,Germany
229,Columbiahalle,Theaters,Berlin,Germany
230,Fichtebunker,Historic Sites,Berlin,Germany
231,Max Liebermann Haus,Speciality Museums,Berlin,Germany
232,Strasse des 17 Juni Flea Market,Flea & Street Markets,Berlin,Germany
233,Schwules Museum,Speciality Museums • History Museums,Berlin,Germany
234,Weissensee Jewish Cemetery,Cemeteries,Berlin,Germany
235,Schiller Monument,Points of Interest & Landmarks • Monuments & Statues,Berlin,Germany
236,Haubentaucher,Sports Complexes,Berlin,Germany
237,Panorama Terrrasse Park Inn,Lookouts,Berlin,Germany
238,The Nazi Forced Labour Documentation Center,Historic Sites • Educational sites,Berlin,Germany
239,Tiergarten S-Bahn Flea Market,Flea & Street Markets,Berlin,Germany
240,Zalando Outlet Store Berlin,Factory Outlets,Berlin,Germany
241,Musical - Hinterm Horizont,,Berlin,Germany
242,Domäne Dahlem,Speciality Museums,Berlin,Germany
243,Book Burning Memorial at Bebelplatz,Historic Sites • Points of Interest & Landmarks,Berlin,Germany
244,Alt Tegel,Neighborhoods,Berlin,Germany
245,Mercedes - Benz Gallery,Speciality Museums,Berlin,Germany
246,Monbijou Theater,Theaters,Berlin,Germany
247,,1,Berlin,Germany
