,Attraction Name,Attraction Type,City,Country
160,Setagaya Park,Parks,Vienna,Austria
161,Justizpalast,Architectural Buildings • Government Buildings,Vienna,Austria
162,Romermuseum,Speciality Museums,Vienna,Austria
163,Cemetery of St. Marx (Friedhof St. Marx),Parks • Cemeteries,Vienna,Austria
164,Flakturm,Observation Decks & Towers,Vienna,Austria
165,Orangery at Schoenbrunn Palace,Historic Sites • Points of Interest & Landmarks,Vienna,Austria
166,Medl-Braeu,Breweries,Vienna,Austria
167,Liechtenstein City Palace,Speciality Museums,Vienna,Austria
168,Bank Austria Kunstforum,Speciality Museums,Vienna,Austria
169,Gasometer,Points of Interest & Landmarks • Architectural Buildings,Vienna,Austria
170,Austria Center Vienna,Convention Centers,Vienna,Austria
171,Volkstheater,Theaters,Vienna,Austria
172,SchokoMuseum Wien,Speciality Museums,Vienna,Austria
173,Türkenschanzpark,Parks,Vienna,Austria
174,Hochstrahlbrunnen,Fountains,Vienna,Austria
175,Meinl am Graben,Department Stores,Vienna,Austria
176,Beethoven Statue,Monuments & Statues,Vienna,Austria
177,Hofjagd- und Rustkammer,Speciality Museums,Vienna,Austria
178,Ottakringer Brauerei,Breweries,Vienna,Austria
179,Funeral Museum (Bestattungsmuseum),Speciality Museums,Vienna,Austria
180,Michaelertrakt,Points of Interest & Landmarks,Vienna,Austria
181,Strandbad Alte Donau,Sports Complexes,Vienna,Austria
182,Wien Mitte the Mall,Shopping Malls,Vienna,Austria
183,Torture museum,Speciality Museums • Historic Sites,Vienna,Austria
184,Museum of Contraception and Abortion,Speciality Museums,Vienna,Austria
185,Goethe Monument,Monuments & Statues,Vienna,Austria
186,,1,Vienna,Austria
187,Schonbrunn Children’s Museum,Children's Museums,Vienna,Austria
188,Crime Museum Vienna,Speciality Museums • Mysterious Sites,Vienna,Austria
189,Marionetten Theater Schloss Schoenbrunn,Theaters,Vienna,Austria
190,Haas Haus,Architectural Buildings,Vienna,Austria
191,Palais Liechtenstein,Historic Sites • Architectural Buildings,Vienna,Austria
192,Desert House,Points of Interest & Landmarks,Vienna,Austria
193,St. Francis of Assisi Church,Points of Interest & Landmarks • Churches & Cathedrals,Vienna,Austria
194,Beethoven Pasqualatihaus,Historic Sites • Points of Interest & Landmarks,Vienna,Austria
195,DC Towers,Points of Interest & Landmarks • Observation Decks & Towers,Vienna,Austria
196,Church of the Teutonic Order,Historic Sites • Religious Sites,Vienna,Austria
197,Statue of Johannes Gutenberg,Points of Interest & Landmarks • Monuments & Statues,Vienna,Austria
198,Looshaus,Architectural Buildings,Vienna,Austria
199,The Butterfly House,Zoos,Vienna,Austria
200,Neuer Markt,Points of Interest & Landmarks,Vienna,Austria
201,Alt Wiener Schnapsmuseum,Speciality & Gift Shops,Vienna,Austria
202,Ringstrassen Galleries,Shopping Malls,Vienna,Austria
203,Dialog im Dunkeln,Speciality Museums,Vienna,Austria
204,Beethovengang,Historic Walking Areas,Vienna,Austria
205,Altes AKH,Points of Interest & Landmarks,Vienna,Austria
206,Palais Kinsky,Architectural Buildings,Vienna,Austria
207,Burgtor,Points of Interest & Landmarks,Vienna,Austria
208,Palais Pallavicini,Historic Sites • Points of Interest & Landmarks,Vienna,Austria
209,Haus der Industrie,Operas • Symphonies,Vienna,Austria
210,Original Vienna Snowglobe Factory,Speciality Museums,Vienna,Austria
211,Sigmund-Freud-Park,Parks,Vienna,Austria
212,Hohe Wand Wiese,Ski & Snowboard Areas,Vienna,Austria
213,Karl-Marx-Hof,Historic Sites,Vienna,Austria
214,Krapfenwaldlbad Swimming Pool,Bodies of Water • Playgrounds,Vienna,Austria
215,Theseus Temple,Architectural Buildings,Vienna,Austria
216,Monument  to Empress Elisabeth,Monuments & Statues,Vienna,Austria
217,,1,Vienna,Austria
218,Lower Belvedere,Points of Interest & Landmarks • Architectural Buildings,Vienna,Austria
219,The Liechtenstein Garden Palace,Speciality Museums,Vienna,Austria
220,Chapel of St. Virgil,Historic Sites • Religious Sites,Vienna,Austria
221,Vienna's English Theatre,Theaters,Vienna,Austria
222,Villon Wine Cellars,Wineries & Vineyards,Vienna,Austria
223,Ephesos Museum,Art Museums • History Museums,Vienna,Austria
